region;id_project;farm;plot;area_GIS;pest;severity;date
Professor;PFS;Percevejo Bronzeado Professor;PFS-005A;0;Percevejo Bronzeado;Baixo;07/03/18
Professor;PFS;Lagarta Professor;PFS-001;0;Lagarta Desfolhadora;Baixo;07/05/24
