avg_temperature,temp_std_dev,avg_humidity,humidity_std_dev,total_precipitation,dry_days_consecutive,farm,plot,delta_min,delta_max,delta,start_date,end_date,x,y,ndre,ndmi,psri,ndvi,ndre_derivative,ndmi_derivative,psri_derivative,ndvi_derivative,label,created_at
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,4,7,-0.0071454678096591895,0,0.007365666615876454,-0.0092209393334719,-0.0014290935619318379,0,0.0014731333231752907,-0.00184418786669438,Psilideo,2025-04-07T23:16:33.067319-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,26,5,-0.009883179449691304,0,0,-0.013571357245658944,-0.0019766358899382607,0,0,-0.002714271449131789,Psilideo,2025-04-07T23:16:33.067322-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,20,14,-0.006731720057737922,0,0,0,-0.0013463440115475845,0,0,0,Psilideo,2025-04-07T23:16:33.067324-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,13,10,-0.009668241516734954,0,0,0,-0.0019336483033469908,0,0,0,Psilideo,2025-04-07T23:16:33.067324-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,10,0,-0.0067799614396769625,0,0,-0.009280172423050903,-0.0013559922879353924,0,0,-0.0018560344846101807,Psilideo,2025-04-07T23:16:33.067325-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,10,7,-0.009282324486936888,0,0,0,-0.0018564648973873777,0,0,0,Psilideo,2025-04-07T23:16:33.067325-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,9,7,-0.009282324486936888,0,0,0,-0.0018564648973873777,0,0,0,Psilideo,2025-04-07T23:16:33.067326-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,11,0,-0.0067799614396769625,0,0,-0.009280172423050903,-0.0013559922879353924,0,0,-0.0018560344846101807,Psilideo,2025-04-07T23:16:33.067326-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,11,9,-0.009034652772081042,0,0,-0.00969896826542338,-0.0018069305544162085,0,0,-0.001939793653084676,Psilideo,2025-04-07T23:16:33.067327-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,37,17,-0.0045403606632099525,0,0,0,-0.0009080721326419905,0,0,0,Psilideo,2025-04-07T23:16:33.067418-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,13,11,-0.006716186610740804,0,0.010690946110776589,-0.007185767513846586,-0.0013432373221481607,0,0.002138189222155318,-0.001437153502769317,Psilideo,2025-04-07T23:16:33.067419-03:00
24.96206896551724,1.348156798693849,76.24568965517241,9.162004723795908,93.79999999999998,3,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,12,54,-0.006513013406215018,0,-0.0027681464592699268,0.0034833364381697818,-0.0013026026812430036,0,-0.0005536292918539854,0.0006966672876339564,Psilideo,2025-04-07T23:16:33.06742-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,12,0,-0.010919776435593276,0.005907109828628132,0,0,-0.0021839552871186553,0.0011814219657256264,0,0,Psilideo,2025-04-07T23:16:33.067421-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,13,54,-0.006513013406215018,0,-0.0027681464592699268,0.0034833364381697818,-0.0013026026812430036,0,-0.0005536292918539854,0.0006966672876339564,Psilideo,2025-04-07T23:16:33.067423-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,26,3,-0.010822515921199094,0,0.012920283753722006,-0.009165648055655784,-0.0021645031842398186,0,0.002584056750744401,-0.0018331296111311567,Psilideo,2025-04-07T23:16:33.067424-03:00
25.137931034482758,1.3835022508121837,73.125,9.539178639630038,77.99999999999999,4,Boi Preto VI,106,5,25,5,2024-04-29T00:00:00Z,2024-05-04T00:00:00Z,18,15,-0.006509689000223973,0,-0.006010670442211485,0.007646440606154492,-0.0013019378000447945,0,-0.001202134088442297,0.0015292881212308983,Psilideo,2025-04-07T23:16:33.067424-03:00
